17:15:59 18.09.2020;-5,75;-5,8125;-5,1875;-5,125;-5,9375;-5,8125;-5,25;-5,0625;-5,25;-5,1875;-5,4375;-4,6875;-5,3125;-5,375;-5,5;-4,5;-5;-5,25;-5,3125;-4,5625;-5,625;-5,375;-5,3125;-4,25
17:16:39 18.09.2020;-5,625;-5,625;-5,0625;-5;-5,8125;-5,625;-5,125;-4,9375;-5,125;-5,0625;-5,25;-4,5;-5,125;-5,25;-5,375;-4,375;-4,875;-5,125;-5,1875;-4,4375;-5,4375;-5,25;-5,1875;-4,125
17:17:19 18.09.2020;-5,4375;-5,5;-4,9375;-4,8125;-5,625;-5,5;-5;-4,75;-4,9375;-4,9375;-5,125;-4,4375;-5;-5,0625;-5,1875;-4,3125;-4,6875;-4,9375;-5;-4,3125;-5,3125;-5,125;-5,0625;-4
17:17:59 18.09.2020;-5,3125;-5,3125;-4,8125;-4,6875;-5,5;-5,3125;-4,875;-4,625;-4,8125;-4,8125;-4,9375;-4,3125;-4,875;-4,9375;-5,0625;-4,1875;-4,625;-4,875;-4,875;-4,25;-5,125;-5;-4,9375;-3,875
17:18:39 18.09.2020;-5,1875;-5,1875;-4,6875;-4,5625;-5,375;-5,1875;-4,8125;-4,5;-4,6875;-4,75;-4,875;-4,25;-4,75;-4,8125;-4,9375;-4,125;-4,5;-4,75;-4,75;-4,125;-5;-4,875;-4,8125;-3,8125
17:19:19 18.09.2020;-5,0625;-5,0625;-4,625;-4,5;-5,25;-5;-4,6875;-4,4375;-4,5625;-4,625;-4,6875;-4,1875;-4,625;-4,75;-4,75;-4;-4,375;-4,5625;-4,6875;-4;-4,875;-4,75;-4,6875;-3,6875
17:19:59 18.09.2020;-5;-4,875;-4,5;-4,375;-5,125;-4,9375;-4,5625;-4,3125;-4,4375;-4,5;-4,5625;-4,125;-4,5;-4,625;-4,625;-4;-4,3125;-4,5;-4,5625;-4,25;-4,75;-4,625;-4,625;-4,1875
17:20:39 18.09.2020;-5;-4,875;-4,5;-4,75;-5,125;-4,875;-4,5625;-4,5;-4,875;-4,6875;-5;-4,4375;-4,9375;-4,875;-5,0625;-4,625;-4,9375;-4,5;-4,8125;-5,3125;-5,125;-4,6875;-5;-5,25
17:21:19 18.09.2020;-5,125;-5,3125;-4,6875;-5,375;-5,1875;-5,0625;-4,625;-4,875;-5,375;-5;-5,5;-4,875;-5,4375;-5,1875;-5,5625;-5,0625;-5,5625;-4,625;-5,1875;-6,0625;-5,5;-4,8125;-5,375;-6,0625
17:21:59 18.09.2020;-5,3125;-5,6875;-4,875;-5,875;-5,375;-5,25;-4,8125;-5,25;-5,9375;-5,3125;-6,0625;-5,375;-6,0625;-5,625;-6,1875;-5,75;-6,1875;-4,8125;-5,6875;-6,875;-5,9375;-5;-5,875;-7
17:22:39 18.09.2020;-5,6875;-6,25;-5,3125;-6,5625;-5,6875;-5,625;-5,1875;-5,8125;-6,6875;-5,875;-6,8125;-6;-6,8125;-6,3125;-7,0625;-6,5;-6,8125;-5;-6,0625;-7,625;-6,4375;-5,1875;-6,25;-7,6875
17:23:19 18.09.2020;-6;-6,875;-5,8125;-7,1875;-6;-6,125;-5,625;-6,3125;-7,375;-6,3125;-7,5;-6,5625;-7,5;-6,9375;-7,8125;-7,1875;-7,4375;-5,125;-6,5;-8,3125;-6,9375;-5,4375;-6,75;-8,5
17:23:59 18.09.2020;-6,4375;-7,5;-6,1875;-7,8125;-6,375;-6,6875;-5,9375;-6,875;-7,9375;-6,8125;-8,0625;-7,125;-8,1875;-7,4375;-8,5;-7,75;-7,9375;-5,375;-6,9375;-8,875;-7,375;-5,6875;-7,125;-9,0625
17:24:39 18.09.2020;-6,8125;-8,0625;-6,5625;-8,3125;-6,8125;-7,1875;-6,375;-7,375;-8,5;-7,25;-8,625;-7,625;-8,75;-8;-9,0625;-8,3125;-8,4375;-5,625;-7,375;-9,25;-7,75;-6;-7,5625;-9,3125
17:25:19 18.09.2020;-6,9375;-8,3125;-6,75;-8,25;-6,9375;-7,4375;-6,4375;-7,4375;-8,4375;-7,1875;-8,5625;-7,6875;-8,625;-7,8125;-8,875;-7,9375;-8,1875;-5,75;-7,3125;-8,5625;-7,625;-6;-7,5;-8,625
17:25:59 18.09.2020;-6,875;-8,125;-6,625;-7,8125;-6,9375;-7,5625;-6,4375;-7,25;-8,1875;-7;-8,25;-7,3125;-8,3125;-7,625;-8,4375;-7,5;-7,8125;-5,75;-7,1875;-8;-7,4375;-6;-7,3125;-8
17:26:39 18.09.2020;-6,875;-7,9375;-6,5;-7,4375;-6,9375;-7,4375;-6,375;-7;-7,9375;-6,6875;-7,6875;-6,9375;-8,0625;-7,375;-8,125;-7;-7,5;-5,6875;-7;-7,4375;-7,25;-6;-7,125;-7,375
17:27:19 18.09.2020;-6,75;-7,6875;-6,3125;-7,0625;-6,875;-7,3125;-6,25;-6,75;-7,6875;-6,4375;-7,25;-6,5625;-7,75;-7,125;;-6,5;-7,1875;-5,75;-6,8125;-7;-7,0625;-6;-6,9375;-6,875
17:27:59 18.09.2020;-6,6875;-7,5625;-6,1875;-6,75;-6,8125;-7,125;-6,1875;-6,5;-7,375;-6,25;-6,9375;-6,1875;-7,5;-6,875;-7,5;-6,125;-6,8125;-5,6875;-6,625;-6,625;-6,9375;-5,9375;-6,6875;-6,4375
17:28:40 18.09.2020;-6,5625;-7,3125;-6,0625;-6,5;-6,6875;-7;-6,0625;-6,3125;-7,0625;-6,0625;-6,6875;-5,875;-7,125;-6,625;-7,25;-5,8125;-6,5625;-5,625;-6,4375;-6,25;-6,75;-5,875;-6,5;-6,0625
17:29:19 18.09.2020;-6,4375;-7,0625;-5,875;-6,25;-6,625;-6,8125;-5,9375;-6,0625;-6,75;-5,9375;-6,5;-5,625;-6,875;-6,4375;-7;-5,5625;-6,3125;-5,5625;-6,25;-5,9375;-6,5625;-5,8125;-6,3125;-5,6875
17:30:00 18.09.2020;-6,3125;-6,875;-5,75;-6,0625;-6,5;-6,6875;-5,8125;-5,875;-6,5;-5,8125;-6,3125;-43;-6,625;-6,25;-6,75;-5,3125;-6,0625;-5,5;-6,0625;-5,6875;-6,375;-5,6875;-6,125;-5,375
